candidate_pid,kocc10,hub_reference
P_12269,15,0.871377
P_12270,8,0.846321
P_122902,6,0.860558
P_122916,8,0.823579
P_122933,4,0.850152
P_122934,5,0.873247
P_122935,14,0.854977
P_12317,11,0.850375
P_123187,27,0.867510
P_123223,1,0.882838
P_123481,12,0.898783
P_123913,2,0.852363
P_124019,5,0.891018
P_124036,5,0.873247
P_124040,17,0.846150
P_12406,12,0.891670
P_124071,8,0.776578
P_124173,13,0.862303
P_12429,10,0.880905
P_12433,5,0.863866
P_124373,6,0.879409
P_124468,9,0.847597
P_124470,10,0.857344
P_124516,8,0.887564
P_124579,4,0.866002
P_12460,8,0.862072
P_124644,23,0.853935
P_124661,15,0.791522
P_124676,5,0.790398
P_124681,4,0.863859
P_12470,10,0.858551
P_12476,4,0.886927
P_12478,11,0.900417
P_12484,12,0.894376
P_12486,9,0.858103
P_124892,12,0.882310
P_124895,6,0.891537
P_124896,12,0.899925
P_125112,12,0.893646
P_125119,4,0.890986
P_125122,9,0.891293
P_125125,5,0.855810
P_125330,7,0.862263
P_125333,30,0.864720
P_125339,11,0.883117
P_12540,15,0.857594
P_12545,5,0.882345
P_125467,8,0.877656
P_12547,5,0.875051
P_12548,7,0.868205
P_125846,4,0.899386
P_125847,5,0.869475
P_126067,10,0.865816
P_12611,7,0.885699
P_126178,12,0.851713
P_12618,8,0.875877
P_126221,18,0.845811
P_126241,10,0.857351
P_126372,15,0.884396
P_126395,6,0.875890
P_126396,7,0.879080
P_126409,5,0.837505
P_126431,12,0.863343
P_126432,8,0.857526
P_126434,13,0.841768
P_126445,8,0.844156
P_126446,8,0.865340
P_126451,12,0.882595
P_12656,9,0.897566
P_12658,5,0.888449
P_12659,5,0.891784
P_126620,5,0.892985
P_12675,14,0.879746
P_126898,8,0.856714
P_126951,5,0.882690
P_1270,3,0.894614
P_127072,9,0.885650
P_127089,9,0.850300
P_127142,12,0.872046
P_127302,11,0.872542
P_127327,13,0.863587
P_127330,17,0.843890
P_127410,12,0.864274
P_127420,8,0.862543
P_127428,8,0.830997
P_127489,4,0.862500
P_127491,13,0.863290
P_127548,6,0.872852
P_1276,13,0.891642
P_1278,13,0.875582
P_12784,6,0.888608
P_12786,1,0.879592
P_127887,19,0.856621
P_127888,14,0.870974
P_1279,5,0.880838
P_127907,6,0.895191
P_127917,7,0.847898
P_12792,9,0.859418
P_127921,4,0.865482
P_128034,10,0.840899
P_128187,8,0.865561
P_128283,5,0.884394
P_1283,2,0.885031
P_128305,6,0.834097
P_12834,15,0.896425
P_128365,8,0.889043
P_128392,7,0.862881
P_128395,10,0.870941
P_12858,10,0.861065
P_12861,25,0.855114
P_12864,2,0.888035
P_128673,10,0.847139
P_128674,10,0.861531
P_128709,6,0.876741
P_12877,2,0.894903
P_128782,12,0.865104
P_1288,8,0.884524
P_128902,5,0.852504
P_129019,7,0.837447
P_129045,7,0.868828
P_129070,5,0.852218
P_129079,16,0.848572
P_129086,4,0.880404
P_129088,7,0.881590
P_129091,7,0.877323
P_129093,7,0.844381
P_129127,8,0.871814
P_129373,8,0.858239
P_129386,14,0.859542
P_129391,7,0.885062
P_129393,14,0.869397
P_129396,5,0.889852
P_129467,6,0.875428
P_129468,10,0.878355
P_129504,16,0.854123
P_129505,5,0.867636
P_129521,10,0.865834
P_129538,2,0.853093
P_129541,8,0.861877
P_129553,21,0.856066
P_129653,4,0.889013
P_12968,3,0.882876
P_129702,1,0.898422
P_12972,6,0.898894
P_12974,7,0.888887
P_129865,9,0.882779
P_129867,2,0.844219
P_129914,7,0.811571
P_12992,10,0.876214
P_129935,6,0.861689
P_12997,12,0.894714
P_130017,15,0.861433
P_130024,14,0.832917
P_13005,11,0.818768
P_130151,18,0.853111
P_130257,12,0.880713
P_130260,8,0.866135
P_130284,4,0.876790
P_13030,1,0.872098
P_130313,9,0.885352
P_130388,10,0.878560
P_130389,12,0.863399
P_130499,9,0.885081
P_1305,6,0.872637
P_130543,10,0.886299
P_130565,18,0.889803
P_130572,6,0.903072
P_130750,5,0.896378
P_130754,4,0.868688
P_130755,11,0.887467
P_130766,12,0.871949
P_130821,10,0.885755
P_130822,10,0.874598
P_130828,8,0.865978
P_130829,16,0.868368
P_130921,9,0.858337
P_131025,11,0.852864
P_131026,2,0.873046
P_131028,18,0.855476
P_131030,7,0.856783
P_13114,6,0.867430
P_131172,17,0.855041
P_13118,11,0.887546
P_131220,10,0.879510
P_131221,11,0.848600
P_131254,3,0.865539
P_13127,6,0.846028
P_131288,5,0.840622
P_131290,15,0.814238
P_131292,11,0.850124
P_131293,15,0.863379
P_131295,9,0.860378
P_131296,6,0.850202
P_131298,10,0.866381
P_131300,7,0.855703
P_13132,7,0.870158
P_131376,2,0.899535
P_131379,9,0.879740
P_131398,3,0.887767
P_131511,12,0.848095
P_13159,9,0.868347
P_131630,8,0.899054
P_131738,16,0.843852
P_131813,6,0.892191
P_131859,20,0.855277
P_131874,5,0.865694
P_131927,6,0.868548
P_131929,6,0.866702
P_131936,14,0.854427
P_131960,1,0.851526
P_131965,12,0.859999
P_131984,16,0.875167
P_13204,5,0.869864
P_132041,2,0.863518
P_132045,16,0.836799
P_132049,16,0.875540
P_132051,6,0.876577
P_132052,11,0.880448
P_132053,14,0.880722
P_132071,15,0.868522
P_13216,4,0.844701
P_132182,5,0.856555
P_13222,8,0.860830
P_132245,8,0.848425
P_13232,16,0.884875
P_132368,8,0.863064
P_132412,3,0.879544
P_132413,5,0.863057
P_132436,8,0.853342
P_132470,16,0.862239
P_132518,6,0.881723
P_132570,4,0.852681
P_132577,6,0.851383
P_132584,19,0.870391
P_132586,10,0.857096
P_1326,6,0.886956
P_132649,8,0.868880
P_132656,9,0.853219
P_132657,10,0.852056
P_132660,17,0.854248
P_132663,26,0.867551
P_132758,14,0.865055
P_132866,5,0.887490
P_132979,10,0.841776
P_132996,2,0.888402
P_13302,11,0.873962
P_133039,5,0.889889
P_133129,9,0.864720
P_133357,11,0.847935
P_133440,1,0.886256
P_133519,11,0.841924
P_133523,10,0.875030
P_133524,14,0.851835
P_133761,5,0.878292
P_133785,9,0.872463
P_133816,6,0.871999
P_133831,8,0.864274
P_133832,8,0.841657
P_133833,9,0.852000
P_133836,6,0.785433
P_13385,6,0.893876
P_133941,1,0.841140
P_133946,19,0.857429
P_133981,5,0.874297
P_133982,12,0.883774
P_133988,8,0.861916
P_134053,3,0.893471
P_134120,5,0.884117
P_134125,5,0.888895
P_134144,15,0.883969
P_134145,8,0.885244
P_134175,17,0.879767
P_13421,3,0.900751
P_134245,7,0.894776
P_13425,11,0.891314
P_134250,12,0.896782
P_134258,16,0.882973
P_134262,13,0.897916
P_13431,13,0.880510
P_134349,4,0.886259
P_134352,2,0.887711
P_134355,11,0.856283
P_13440,5,0.891664
P_134414,4,0.843089
P_13447,9,0.893869
P_134476,6,0.797105
P_134587,13,0.862453
P_134660,13,0.884163
P_134661,10,0.875618
P_134662,9,0.859123
P_134695,1,0.810163
P_1347,2,0.848175
P_134711,4,0.867326
P_134730,4,0.834575
P_134742,14,0.843356
P_134764,1,0.849957
P_134765,4,0.903046
P_134767,14,0.865185
P_134775,8,0.887264
P_134783,4,0.898508
P_1348,10,0.883643
P_135031,16,0.876510
P_135060,4,0.894234
P_135061,7,0.889783
P_135084,10,0.851139
P_13513,5,0.897127
P_13522,15,0.869753
P_13523,16,0.887095
P_1353,16,0.853950
P_13552,15,0.849749
P_135528,11,0.847426
P_135595,7,0.861866
P_135628,9,0.877693
P_135643,8,0.875406
P_13566,6,0.840670
P_135668,9,0.838190
P_135670,14,0.849818
P_135672,5,0.889308
P_135675,11,0.821686
P_135677,5,0.813545
P_135695,4,0.864123
P_135738,7,0.832404
P_135759,11,0.857535
P_135793,12,0.841818
P_1359,3,0.871535
P_135935,8,0.891799
P_136020,8,0.870235
P_136132,12,0.864330
P_136182,11,0.847421
P_136185,8,0.870196
P_136233,5,0.848340
P_136281,7,0.878667
P_1364,15,0.845446
P_136457,10,0.845669
P_13658,10,0.896937
P_1367,6,0.851464
P_136809,8,0.874399
P_13687,9,0.867321
P_136870,2,0.882910
P_136884,3,0.901349
P_136908,6,0.837801
P_13695,6,0.845424
P_13698,8,0.850857
P_137291,11,0.851750
P_137292,5,0.872948
P_137293,14,0.877901
P_137294,7,0.879714
P_137296,4,0.876467
P_137375,8,0.853496
P_137414,11,0.849318
P_137485,8,0.897200
P_137537,14,0.855895
P_137556,11,0.875661
P_137558,6,0.883565
P_137588,6,0.877760
P_137590,11,0.872559
P_1376,12,0.848936
P_137629,11,0.858263
P_137708,14,0.868064
P_137716,12,0.879223
P_137740,12,0.827384
P_137764,9,0.899304
P_1378,8,0.859025
P_137822,11,0.896773
P_13805,7,0.822759
P_13807,11,0.903110
P_138093,4,0.887406
P_138116,6,0.887969
P_138150,9,0.885239
P_138156,7,0.838843
P_138212,3,0.889303
P_13831,17,0.876564
P_13832,2,0.869373
P_138459,12,0.887471
P_138491,5,0.897790
P_138508,7,0.861619
P_138614,11,0.903077
P_138652,7,0.861664
P_13869,11,0.852936
P_138718,14,0.894632
P_138719,6,0.888683
P_138721,4,0.890848
P_138722,5,0.883540
P_138727,4,0.860659
P_138731,9,0.881389
P_13888,6,0.894262
P_13895,17,0.895933
P_138967,9,0.879339
P_139000,14,0.833784
P_13908,7,0.879275
P_139092,7,0.886466
P_139161,13,0.882922
P_139304,17,0.872338
P_139305,15,0.885590
P_139401,7,0.869009
P_139431,7,0.843313
P_139457,3,0.879059
