query_wid,s1_first,hyb_first,class
W_34907,38,38,A
W_10852,278,278,A
W_167,3,1,R
W_30235,32,32,A
W_5917,1,1,R
W_6216,1707,1707,A
W_7312,8,1,R
W_13127,4,1,R
W_10847,150,150,A
W_10847,2,1,R
W_10847,4,2,B_not_promoted
W_10847,35,35,A
W_10847,129,129,A
W_92417,313,313,A
W_35395,215,215,A
W_10847,37,37,A
W_5917,2,1,R
W_2081,5,1,R
W_9358,3,1,R
W_68897,41,41,A
W_51980,18,5,B_not_promoted
W_5917,6,1,R
W_1276,1,1,R
W_13208,9,1,R
W_34568,1,1,R
W_4887,82,82,A
W_706,2,1,R
W_114742,6,1,R
W_114742,13,8,B_not_promoted
W_114742,215,215,A
W_114606,2,1,R
W_114742,1,1,R
W_114742,75,75,A
W_13204,1,1,R
W_114742,44,44,A
W_114742,47,47,A
W_114742,328,328,A
W_9158,6,5,B_not_promoted
W_20088,184,184,A
W_4814,342,342,A
W_64372,290,290,A
W_13216,2,1,R
W_64593,18,7,B_not_promoted
W_13222,1,1,R
W_114742,155,155,A
W_2085,5,1,R
W_62433,284,284,A
W_40034,582,582,A
W_68472,52,52,A
W_1769,29,13,B_not_promoted
W_9704,13,16,B_demoted
W_1033,8,1,R
W_34907,97,97,A
W_9263,9,2,B_not_promoted
W_4916,48,48,A
W_68063,55,55,A
W_4922,177,177,A
W_112097,185,185,A
W_79329,1058,1058,A
W_114810,60,60,A
W_114810,27,2,B_not_promoted
W_4012,6,7,B_demoted
W_4681,90,90,A
W_5216,52,52,A
W_4755,1,1,R
W_19789,79,79,A
W_4749,6,1,R
W_4702,64,64,A
W_4694,1160,1160,A
W_8543,689,689,A
W_40971,93,93,A
W_656,1,1,R
W_4267,1,1,R
W_25000,1,1,R
W_7245,1,1,R
W_167,4,1,R
W_1939,106,106,A
W_27894,36,36,A
W_55068,4,1,R
W_12972,116,116,A
W_55068,4632,4632,A
W_3097,117,117,A
W_14238,15,21,B_demoted
W_4681,159,159,A
W_3266,130,130,A
W_10838,27,21,B_not_promoted
W_5555,9,17,B_demoted
W_5102,30,22,B_not_promoted
W_5555,1,1,R
W_9719,160,160,A
W_10914,69,69,A
W_55068,459,459,A
W_5555,2,1,R
W_22,30,28,B_not_promoted
W_13440,47,47,A
W_114947,236,236,A
W_13440,3,2,B_not_promoted
W_87758,33,33,A
W_4468,8,2,B_not_promoted
W_4681,31,31,A
W_1795,1,1,R
W_4217,129,129,A
W_4829,111,111,A
W_4687,311,311,A
W_625,13,1,R
W_1347,4,1,R
W_55068,1,1,R
W_4681,8,24,B_demoted
W_4690,266,266,A
W_55068,1,1,R
W_55068,36,36,A
W_55068,138,138,A
W_50939,3,4,B_demoted
W_1347,206,206,A
W_7245,15,30,B_demoted
W_21826,698,698,A
W_50523,113,113,A
W_45948,29,1,R
W_2271,1,1,R
W_3063,2808,2808,A
W_13523,1,1,R
W_1353,1,1,R
W_13552,1,1,R
W_11358,7,1,R
W_10901,981,981,A
W_115054,2,1,R
W_115054,1,1,R
W_4762,1,1,R
W_10902,145,145,A
W_4689,79,79,A
W_1033,4,1,R
W_5440,130,130,A
W_4849,229,229,A
W_18505,2,1,R
W_18505,3,1,R
W_18505,277,277,A
W_18505,60,60,A
W_1353,382,382,A
W_303,13,2,B_not_promoted
W_9262,57,57,A
W_18505,12,2,B_not_promoted
W_52177,13,16,B_demoted
W_26461,385,385,A
W_18505,1,2,B_demoted
W_1278,1,1,R
W_1364,23,1,R
W_1443,9,1,R
W_4012,82,82,A
W_1364,7,1,R
W_3270,1,3,B_demoted
W_13687,59,59,A
W_6807,29,12,B_not_promoted
W_24522,390,390,A
W_13695,2,1,R
W_13698,79,79,A
W_115249,216,216,A
W_115249,79,79,A
W_115249,392,392,A
W_115249,19,20,B_demoted
W_115249,213,213,A
W_115251,59,59,A
W_10914,157,157,A
W_994,1,1,R
W_29060,12,25,B_demoted
W_11484,140,140,A
W_9576,1,1,R
W_53351,285,285,A
W_115249,1,1,R
W_1376,1,1,R
W_5233,377,377,A
W_103771,109,109,A
W_74245,19,30,B_demoted
W_11649,21,21,B_not_promoted
W_40199,36,36,A
W_1378,4,18,B_demoted
W_1409,2330,2330,A
W_1308,12,10,B_not_promoted
W_42631,2,1,R
W_3599,126,126,A
W_10907,2,6,B_demoted
W_7032,1,1,R
W_6536,19,6,B_not_promoted
W_3599,3,23,B_demoted
W_103,1,6,B_demoted
W_10216,112,112,A
W_2271,7,1,R
W_27913,8,1,R
W_2911,1,1,R
W_5071,26,17,B_not_promoted
W_8824,325,325,A
W_4354,1,1,R
W_3061,33,33,A
W_5216,17,1,R
W_40419,8,2,B_not_promoted
W_3170,7293,7293,A
W_1130,2817,2817,A
W_32595,1,1,R
W_9665,124,124,A
W_3211,3,5,B_demoted
W_3599,1,1,R
W_3599,3,1,R
W_6730,2,1,R
W_6730,17,7,B_not_promoted
W_4217,11,1,R
W_11823,1,4,B_demoted
W_299,216,216,A
W_111952,343,343,A
W_3599,2,6,B_demoted
W_32408,1,4,B_demoted
W_22084,4,1,R
W_7279,4,20,B_demoted
W_2976,2,1,R
W_3599,527,527,A
W_65381,351,351,A
W_14019,2,1,R
W_45675,26,16,B_not_promoted
W_64445,22,29,B_demoted
W_113724,210,210,A
W_113615,29,1,R
W_3599,4,6,B_demoted
W_14019,4,1,R
W_3599,3,2,B_not_promoted
W_2145,4,27,B_demoted
W_29078,215,215,A
W_3599,2,11,B_demoted
W_115692,9,20,B_demoted
W_40924,58,58,A
W_546,1,1,R
W_42488,16,26,B_demoted
W_115707,140,140,A
W_28493,156,156,A
W_115728,5,1,R
W_115728,1,1,R
W_115249,25,6,B_not_promoted
W_4685,240,240,A
W_43012,28,3,B_not_promoted
W_115707,288,288,A
