query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_344759,W_113724,19,0.012298080869846953,1,1,0.09124545,5,0.02457878,1,0.09124545,2,0.04957878,5,0.02457878,2,0.04957878
P_344798,W_11352,4,0.03235818254741372,1,10,0.01985818,3,0.03930263,3,0.03930263,13,0.01793511,4,0.03235818,4,0.03235818
P_344831,W_121182,68,0.010211906867351819,0,68,0.01021191,68,0.01021191,68,0.01021191,68,0.01021191,68,0.01021191,68,0.01021191
P_344848,W_7247,36,0.023821505020471617,0,36,0.02382151,36,0.02382151,36,0.02382151,36,0.02382151,36,0.02382151,36,0.02382151
P_344914,W_856,22,0.09793461026823326,2,6,0.11960969,11,0.1023538,11,0.1023538,5,0.12238747,6,0.10833755,6,0.10833755
P_344918,W_2673,217,0.004572180212289304,0,217,0.00457218,217,0.00457218,217,0.00457218,217,0.00457218,217,0.00457218,217,0.00457218
P_3450,W_3447,9,0.024915829086810514,2,26,0.01905327,20,0.02184344,21,0.02131565,24,0.01932036,12,0.02895022,13,0.02762238
P_345001,W_91832,347,0.004451891361752785,0,347,0.00445189,347,0.00445189,347,0.00445189,347,0.00445189,347,0.00445189,347,0.00445189
P_345002,W_4806,464,0.0017025354292508786,0,464,0.00170254,464,0.00170254,464,0.00170254,464,0.00170254,464,0.00170254,464,0.00170254
P_34505,W_3177,159,0.005059310774703234,0,159,0.00505931,159,0.00505931,159,0.00505931,159,0.00505931,159,0.00505931,159,0.00505931
P_345075,W_111854,126,0.0062305499697792545,0,126,0.00623055,126,0.00623055,126,0.00623055,126,0.00623055,126,0.00623055,126,0.00623055
P_345136,W_8387,14,0.02719689496123827,2,17,0.02776985,1,0.15418102,1,0.15418102,14,0.03001644,1,0.1819588,1,0.1819588
