candidate_pid,kocc10,hub_reference
P_12182,14,0.886869
P_121822,6,0.872620
P_121823,8,0.858727
P_121824,6,0.881809
P_121851,12,0.865326
P_121871,15,0.870754
P_121918,15,0.858713
P_121989,8,0.840197
P_122011,5,0.845549
P_122031,5,0.889136
P_122035,3,0.872074
P_122038,3,0.857984
P_122096,22,0.840691
P_122162,20,0.876880
P_122231,1,0.894480
P_122263,14,0.883085
P_122300,6,0.854100
P_122303,16,0.850054
P_12233,6,0.878347
P_122353,8,0.879153
P_122484,10,0.867676
P_122525,9,0.896394
P_122530,11,0.864230
P_122534,5,0.872518
P_12255,20,0.878314
P_122588,9,0.808235
P_122654,15,0.835993
P_122676,6,0.872178
P_12269,12,0.871377
P_12270,10,0.846321
P_122902,10,0.860558
P_122916,5,0.823579
P_122933,3,0.850152
P_122934,10,0.873247
P_122935,8,0.854977
P_12317,10,0.850375
P_123187,12,0.867510
P_123223,5,0.882838
P_123481,11,0.898783
P_123913,3,0.852363
P_124019,5,0.891018
P_124036,10,0.873247
P_124040,14,0.846150
P_12406,8,0.891670
P_124071,10,0.776578
P_124173,14,0.862303
P_12429,10,0.880905
P_12433,5,0.863866
P_124373,4,0.879409
P_124468,13,0.847597
P_124470,11,0.857344
P_124516,11,0.887564
P_124579,10,0.866002
P_12460,8,0.862072
P_124644,21,0.853935
P_124661,9,0.791522
P_124676,9,0.790398
P_124681,7,0.863859
P_12470,11,0.858551
P_12476,3,0.886927
P_12478,15,0.900417
P_12484,7,0.894376
P_12486,5,0.858103
P_124892,15,0.882310
P_124895,11,0.891537
P_124896,10,0.899925
P_125112,14,0.893646
P_125119,2,0.890986
P_125122,10,0.891293
P_125125,4,0.855810
P_125330,4,0.862263
P_125333,28,0.864720
P_125339,11,0.883117
P_12540,4,0.857594
P_12545,8,0.882345
P_125467,12,0.877656
P_12547,5,0.875051
P_12548,8,0.868205
P_125846,4,0.899386
P_125847,4,0.869475
P_126067,11,0.865816
P_12611,4,0.885699
P_126178,7,0.851713
P_12618,8,0.875877
P_126221,17,0.845811
P_126241,12,0.857351
P_126372,7,0.884396
P_126395,7,0.875890
P_126396,5,0.879080
P_126409,1,0.837505
P_126431,9,0.863343
P_126432,23,0.857526
P_126434,15,0.841768
P_126445,4,0.844156
P_126446,6,0.865340
P_126451,13,0.882595
P_12656,14,0.897566
P_12658,8,0.888449
P_12659,6,0.891784
P_126620,2,0.892985
P_12675,17,0.879746
P_126898,12,0.856714
P_126951,4,0.882690
P_1270,2,0.894614
P_127072,8,0.885650
P_127089,9,0.850300
P_127142,10,0.872046
P_127302,14,0.872542
P_127327,11,0.863587
P_127330,13,0.843890
P_127410,12,0.864274
P_127420,6,0.862543
P_127428,4,0.830997
P_127489,3,0.862500
P_127491,8,0.863290
P_127548,3,0.872852
P_1276,12,0.891642
P_1278,11,0.875582
P_12784,3,0.888608
P_12786,4,0.879592
P_127887,15,0.856621
P_127888,10,0.870974
P_1279,9,0.880838
P_127907,7,0.895191
P_127917,8,0.847898
P_12792,7,0.859418
P_127921,2,0.865482
P_128034,15,0.840899
P_128187,9,0.865561
P_128283,4,0.884394
P_1283,2,0.885031
P_128305,2,0.834097
P_12834,16,0.896425
P_128365,6,0.889043
P_128392,5,0.862881
P_128395,9,0.870941
P_12858,13,0.861065
P_12861,8,0.855114
P_12864,2,0.888035
P_128673,11,0.847139
P_128674,4,0.861531
P_128709,6,0.876741
P_12877,2,0.894903
P_128782,15,0.865104
P_1288,2,0.884524
P_128902,7,0.852504
P_129019,6,0.837447
P_129045,3,0.868828
P_129070,3,0.852218
P_129079,12,0.848572
P_129086,3,0.880404
P_129088,8,0.881590
P_129091,10,0.877323
P_129093,9,0.844381
P_129127,4,0.871814
P_129373,15,0.858239
P_129386,6,0.859542
P_129391,10,0.885062
P_129393,15,0.869397
P_129396,7,0.889852
P_129467,3,0.875428
P_129468,18,0.878355
P_129504,24,0.854123
P_129505,9,0.867636
P_129521,4,0.865834
P_129538,1,0.853093
P_129541,8,0.861877
P_129553,29,0.856066
P_129653,6,0.889013
P_12968,3,0.882876
P_129702,2,0.898422
P_12972,2,0.898894
P_12974,5,0.888887
P_129865,12,0.882779
P_129867,3,0.844219
P_129914,9,0.811571
P_12992,9,0.876214
P_129935,6,0.861689
P_12997,6,0.894714
P_130017,11,0.861433
P_130024,9,0.832917
P_13005,15,0.818768
P_130151,26,0.853111
P_130257,10,0.880713
P_130260,4,0.866135
P_130284,13,0.876790
P_13030,3,0.872098
P_130313,9,0.885352
P_130388,7,0.878560
P_130389,22,0.863399
P_130499,4,0.885081
P_1305,5,0.872637
P_130543,11,0.886299
P_130565,10,0.889803
P_130572,8,0.903072
P_130750,5,0.896378
P_130754,4,0.868688
P_130755,7,0.887467
P_130766,16,0.871949
P_130821,13,0.885755
P_130822,11,0.874598
P_130828,6,0.865978
P_130829,20,0.868368
P_130921,13,0.858337
P_131025,19,0.852864
P_131026,3,0.873046
P_131028,16,0.855476
P_131030,7,0.856783
P_13114,5,0.867430
P_131172,25,0.855041
P_13118,8,0.887546
P_131220,8,0.879510
P_131221,12,0.848600
P_131254,3,0.865539
P_13127,4,0.846028
P_131288,6,0.840622
P_131290,16,0.814238
P_131292,10,0.850124
P_131293,27,0.863379
P_131295,17,0.860378
P_131296,14,0.850202
P_131298,9,0.866381
P_131300,8,0.855703
P_13132,5,0.870158
P_131376,4,0.899535
P_131379,12,0.879740
P_131398,3,0.887767
P_131511,20,0.848095
P_13159,5,0.868347
P_131630,12,0.899054
P_131738,12,0.843852
P_131813,4,0.892191
P_131859,33,0.855277
P_131874,5,0.865694
P_131927,7,0.868548
P_131929,5,0.866702
P_131936,10,0.854427
P_131960,5,0.851526
P_131965,14,0.859999
P_131984,10,0.875167
P_13204,4,0.869864
P_132041,7,0.863518
P_132045,18,0.836799
P_132049,19,0.875540
P_132051,2,0.876577
P_132052,6,0.880448
P_132053,7,0.880722
P_132071,14,0.868522
P_13216,4,0.844701
P_132182,6,0.856555
P_13222,5,0.860830
P_132245,13,0.848425
P_13232,10,0.884875
P_132368,7,0.863064
P_132412,7,0.879544
P_132413,3,0.863057
P_132436,7,0.853342
P_132470,15,0.862239
P_132518,8,0.881723
P_132570,3,0.852681
P_132577,11,0.851383
P_132584,21,0.870391
P_132586,18,0.857096
P_1326,3,0.886956
P_132649,5,0.868880
P_132656,13,0.853219
P_132657,5,0.852056
P_132660,17,0.854248
P_132663,23,0.867551
P_132758,12,0.865055
P_132866,0,0.887490
P_132979,4,0.841776
P_132996,3,0.888402
P_13302,14,0.873962
P_133039,5,0.889889
P_133129,2,0.864720
P_133357,12,0.847935
P_133440,1,0.886256
P_133519,22,0.841924
P_133523,9,0.875030
P_133524,8,0.851835
P_133761,4,0.878292
P_133785,7,0.872463
P_133816,8,0.871999
P_133831,11,0.864274
P_133832,10,0.841657
P_133833,11,0.852000
P_133836,7,0.785433
P_13385,9,0.893876
P_133941,11,0.841140
P_133946,18,0.857429
P_133981,8,0.874297
P_133982,4,0.883774
P_133988,7,0.861916
P_134053,4,0.893471
P_134120,2,0.884117
P_134125,4,0.888895
P_134144,14,0.883969
P_134145,6,0.885244
P_134175,22,0.879767
P_13421,4,0.900751
P_134245,3,0.894776
P_13425,15,0.891314
P_134250,5,0.896782
P_134258,12,0.882973
P_134262,15,0.897916
P_13431,14,0.880510
P_134349,2,0.886259
P_134352,3,0.887711
P_134355,11,0.856283
P_13440,2,0.891664
P_134414,7,0.843089
P_13447,9,0.893869
P_134476,8,0.797105
P_134587,12,0.862453
P_134660,12,0.884163
P_134661,8,0.875618
P_134662,14,0.859123
P_134695,0,0.810163
P_1347,7,0.848175
P_134711,4,0.867326
P_134730,2,0.834575
P_134742,12,0.843356
P_134764,2,0.849957
P_134765,4,0.903046
P_134767,8,0.865185
P_134775,12,0.887264
P_134783,5,0.898508
P_1348,12,0.883643
P_135031,12,0.876510
P_135060,4,0.894234
P_135061,3,0.889783
P_135084,13,0.851139
P_13513,6,0.897127
P_13522,11,0.869753
P_13523,14,0.887095
P_1353,26,0.853950
P_13552,13,0.849749
P_135528,11,0.847426
P_135595,13,0.861866
P_135628,9,0.877693
P_135643,7,0.875406
P_13566,7,0.840670
P_135668,8,0.838190
P_135670,17,0.849818
P_135672,4,0.889308
P_135675,13,0.821686
P_135677,7,0.813545
P_135695,3,0.864123
P_135738,6,0.832404
P_135759,16,0.857535
P_135793,9,0.841818
P_1359,6,0.871535
P_135935,9,0.891799
P_136020,10,0.870235
P_136132,7,0.864330
P_136182,7,0.847421
P_136185,8,0.870196
P_136233,3,0.848340
P_136281,11,0.878667
P_1364,15,0.845446
P_136457,9,0.845669
P_13658,6,0.896937
P_1367,5,0.851464
P_136809,5,0.874399
P_13687,9,0.867321
P_136870,5,0.882910
P_136884,5,0.901349
P_136908,2,0.837801
P_13695,6,0.845424
P_13698,7,0.850857
P_137291,17,0.851750
P_137292,4,0.872948
P_137293,10,0.877901
P_137294,14,0.879714
P_137296,6,0.876467
P_137375,9,0.853496
P_137414,16,0.849318
P_137485,6,0.897200
P_137537,16,0.855895
P_137556,13,0.875661
P_137558,4,0.883565
P_137588,5,0.877760
P_137590,11,0.872559
P_1376,14,0.848936
P_137629,13,0.858263
P_137708,14,0.868064
P_137716,16,0.879223
P_137740,14,0.827384
P_137764,7,0.899304
P_1378,11,0.859025
P_137822,5,0.896773
P_13805,4,0.822759
P_13807,14,0.903110
P_138093,5,0.887406
P_138116,3,0.887969
P_138150,6,0.885239
P_138156,11,0.838843
P_138212,2,0.889303
P_13831,10,0.876564
P_13832,3,0.869373
P_138459,12,0.887471
P_138491,6,0.897790
P_138508,10,0.861619
P_138614,12,0.903077
P_138652,6,0.861664
P_13869,6,0.852936
P_138718,17,0.894632
P_138719,7,0.888683
P_138721,8,0.890848
P_138722,8,0.883540
P_138727,2,0.860659
P_138731,8,0.881389
P_13888,8,0.894262
P_13895,13,0.895933
P_138967,11,0.879339
P_139000,13,0.833784
P_13908,11,0.879275
P_139092,9,0.886466
P_139161,15,0.882922
P_139304,9,0.872338
P_139305,13,0.885590
P_139401,9,0.869009
P_139431,9,0.843313
P_139457,3,0.879059
P_139528,9,0.891505
P_139545,11,0.859088
P_139673,10,0.852902
P_139768,13,0.866000
P_139835,8,0.863896
P_139969,8,0.833696
P_139989,9,0.898077
P_140021,18,0.841004
P_140023,11,0.894489
P_140165,2,0.882058
P_140166,6,0.876016
P_14019,9,0.868898
P_140200,12,0.898328
P_140236,2,0.903486
P_140237,2,0.901759
P_140253,6,0.849157
P_140376,7,0.882519
P_14040,18,0.857499
P_140410,9,0.884745
P_140445,11,0.855250
P_140473,12,0.856213
P_140475,7,0.886146
